3,23812,13730
2,25716,16386
1,12224,8000
1,20836,11738
4,37168,19650
2,27632,15456
2,21224,12774
2,24820,14674
3,24656,13914
2,20308,11460
3,32608,18852
3,36368,19714
2,21336,13410
3,26104,14466
3,25136,15452
4,35160,19230
3,23780,14888
2,12476,7022
2,18848,11308
3,23540,12998
3,37120,19644
3,23564,14166
2,23196,13242
2,26940,15766
1,10628,7002
1,18832,12792
3,33640,17934
3,24192,13730
2,27388,15478
3,33700,17916
1,12120,7528
3,32048,18148
4,36432,19738
2,19512,11548
3,32096,17314
2,16964,10308
2,25764,15178
2,29752,16472
3,34992,19164
2,23344,12932
1,9380,6272
3,35124,19450
3,32084,17792
4,32872,18294
2,19636,12320
2,22640,13396
2,31120,17166
7,33532,18134
3,28768,16138
4,33140,17986
2,23276,13432
2,29000,16156
2,16196,10550
3,33056,17968
2,19692,11772
3,22724,12848
1,10904,7104
2,21756,13650
4,32776,17778
2,28944,17224
4,36560,19662
2,21000,13418
3,28996,15170
4,37800,19902
2,23368,14292
3,29820,17170
1,10860,7194
2,18056,10490
2,24780,13944
2,20608,12468
2,26872,15160
2,33388,18782
1,13636,8462
3,28712,16922
3,26980,14788
3,33052,18184
2,17356,10144
2,19976,11924
2,18084,10618
3,31236,16738
3,30840,16998
2,20352,12468
3,30256,16630
3,28768,16290
3,26188,14246
2,20720,12874
2,19592,10802
2,23672,14584
2,27652,15160
3,33848,18822
2,25384,14236
2,15388,9444
3,31928,16790
3,29936,17324
1,16520,10596
2,22212,12384
2,26708,16336
3,36052,19534
1,9664,5984
3,29444,17002
2,20868,12766
3,22992,12566
3,30664,16796
4,35984,19240
3,36960,19624
3,33776,19242
2,16004,10154
2,18504,12702
2,25056,14956
4,36108,19254
3,24508,14602
2,25152,15906
2,19500,10876
3,28388,16166
3,33272,18014
4,34596,18878
1,15384,11336
3,28936,16034
1,13116,7942
3,35732,19106
4,30096,15856
2,19532,12252
2,29076,16386
2,13472,8268
2,27556,16296
3,33216,18646
2,24592,14802
4,37012,19740
1,17808,11232
2,25376,14384
3,29452,16302
1,10716,6688
1,14936,11444
2,18024,10472
3,35120,19536
3,31580,18164
3,32984,18838
3,28348,15258
3,26480,14788
4,36548,19486
3,34380,18826
1,11600,8078
2,24124,13936
3,27228,14958
4,33132,18068
2,25592,15214
3,28544,17842
2,26880,15074
2,20624,11990
2,21132,12044
3,30780,17328
3,35868,19398
3,24576,15532
2,18640,11574
2,27580,14906
3,27296,15104
2,19732,12812
2,23148,12516
1,11816,7126
3,34900,19380
4,37148,19452
2,22128,12602
2,25576,14522
3,22848,12968
2,20800,12102
2,20356,12132
2,27088,15218
3,29048,16132
2,20224,12622
2,19588,12576
0,5616,4120
3,28628,15290
1,8056,5688
1,8740,5660
3,29564,16810
4,35952,19572
3,26304,14646
2,21784,12726
1,14064,9086
3,34300,18284
3,27248,16294
2,27748,16414
2,19380,12094
3,26912,16820
4,34216,18056
2,26696,16028
1,10032,7380
2,12436,8960
1,8952,6258
2,25556,14000
2,20484,11824
2,24384,14826
4,33904,18600
3,37852,19902
3,27296,15130
4,36888,19628
1,14960,10870
